goal_index,date,competition_code,competition,home_team,away_team,result,minute_raw,minute_base,minute_added,minute_total,what,how,is_penalty,is_official,source_url
1,2005-05-01,PRM La Liga,PRM La Liga,FC Barcelona,Albacete,2-0,90,90,0,90,,Left foot,0,1,https://www.messistats.com/en/locationsscored
2,2005-11-02,EUR UEFA Champions League,EUR UEFA Champions League,FC Barcelona,Panathinaikos,5-0,34,34,0,34,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
3,2005-11-27,PRM La Liga,PRM La Liga,FC Barcelona,Racing Santander,4-1,52,52,0,52,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
4,2006-01-15,PRM La Liga,PRM La Liga,FC Barcelona,Athletic de Bilbao,2-1,51,51,0,51,Rebound,Left foot,0,1,https://www.messistats.com/en/locationsscored
5,2006-01-22,PRM La Liga,PRM La Liga,FC Barcelona,Alavés,2-0,81,81,0,81,Rebound,Left foot,0,1,https://www.messistats.com/en/locationsscored
6,2006-01-29,PRM La Liga,PRM La Liga,Real Mallorca,FC Barcelona,0-3,75,75,0,75,Field goal,Right foot,0,1,https://www.messistats.com/en/locationsscored
7,2006-01-29,PRM La Liga,PRM La Liga,Real Mallorca,FC Barcelona,0-3,81,81,0,81,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
8,2006-02-01,CUP Copa del Rey,CUP Copa del Rey,FC Barcelona,Real Zaragoza,2-1,42,42,0,42,Field goal,Head,0,1,https://www.messistats.com/en/locationsscored
9,2006-02-18,PRM La Liga,PRM La Liga,FC Barcelona,Real Betis,5-1,85,85,0,85,Rebound,Left foot,0,1,https://www.messistats.com/en/locationsscored
10,2006-03-01,FRN International friendly,FRN International friendly,Croatia,Argentina,3-2,6,6,0,6,,Left foot,0,0,https://www.messistats.com/en/locationsscored
11,2006-06-16,WCP World Cup 2006,WCP World Cup 2006,Argentina,Serbia and Montenegro,6-0,88,88,0,88,,Right foot,0,1,https://www.messistats.com/en/locationsscored
12,2006-08-28,PRM La Liga,PRM La Liga,Celta de Vigo,FC Barcelona,2-3,60,60,0,60,,Left foot,0,1,https://www.messistats.com/en/locationsscored
13,2006-09-09,PRM La Liga,PRM La Liga,FC Barcelona,Osasuna,3-0,37,37,0,37,,Left foot,0,1,https://www.messistats.com/en/locationsscored
14,2006-09-27,EUR UEFA Champions League,EUR UEFA Champions League,Werder Bremen,FC Barcelona,1-1,89,89,0,89,,Left foot,0,1,https://www.messistats.com/en/locationsscored
15,2006-10-15,PRM La Liga,PRM La Liga,FC Barcelona,Sevilla,3-1,81,81,0,81,,Right foot,0,1,https://www.messistats.com/en/locationsscored
16,2007-03-10,PRM La Liga,PRM La Liga,FC Barcelona,Real Madrid,3-3,11,11,0,11,,Left foot,0,1,https://www.messistats.com/en/locationsscored
17,2007-03-10,PRM La Liga,PRM La Liga,FC Barcelona,Real Madrid,3-3,28,28,0,28,Rebound,Left foot,0,1,https://www.messistats.com/en/locationsscored
18,2007-03-10,PRM La Liga,PRM La Liga,FC Barcelona,Real Madrid,3-3,90,90,0,90,,Left foot,0,1,https://www.messistats.com/en/locationsscored
19,2007-03-17,PRM La Liga,PRM La Liga,Recreativo Huelva,FC Barcelona,0-4,86,86,0,86,,Left foot,0,1,https://www.messistats.com/en/locationsscored
20,2007-03-31,PRM La Liga,PRM La Liga,FC Barcelona,Deportivo La Coruña,2-1,45,45,0,45,,Left foot,0,1,https://www.messistats.com/en/locationsscored
21,2007-04-18,CUP Copa del Rey,CUP Copa del Rey,FC Barcelona,Getafe,5-2,29,29,0,29,Solo run,Right foot,0,1,https://www.messistats.com/en/locationsscored
22,2007-04-18,CUP Copa del Rey,CUP Copa del Rey,FC Barcelona,Getafe,5-2,45,45,0,45,,Left foot,0,1,https://www.messistats.com/en/locationsscored
23,2007-05-20,PRM La Liga,PRM La Liga,Atlético Madrid,FC Barcelona,0-6,39,39,0,39,,Left foot,0,1,https://www.messistats.com/en/locationsscored
24,2007-05-20,PRM La Liga,PRM La Liga,Atlético Madrid,FC Barcelona,0-6,80,80,0,80,,Left foot,0,1,https://www.messistats.com/en/locationsscored
25,2007-06-05,FRN International friendly,FRN International friendly,Argentina,Algeria,4-3,54,54,0,54,Penalty,Left foot,1,0,https://www.messistats.com/en/locationsscored
26,2007-06-05,FRN International friendly,FRN International friendly,Argentina,Algeria,4-3,73,73,0,73,,Left foot,0,0,https://www.messistats.com/en/locationsscored
27,2007-06-09,PRM La Liga,PRM La Liga,FC Barcelona,Espanyol,2-2,43,43,0,43,,Hand,0,1,https://www.messistats.com/en/locationsscored
28,2007-06-09,PRM La Liga,PRM La Liga,FC Barcelona,Espanyol,2-2,57,57,0,57,,Right foot,0,1,https://www.messistats.com/en/locationsscored
29,2007-06-17,PRM La Liga,PRM La Liga,Gimnàstic,FC Barcelona,1-5,35,35,0,35,,Left foot,0,1,https://www.messistats.com/en/locationsscored
30,2007-06-17,PRM La Liga,PRM La Liga,Gimnàstic,FC Barcelona,1-5,51,51,0,51,,Left foot,0,1,https://www.messistats.com/en/locationsscored
31,2007-07-09,CPA Copa América 2007,CPA Copa América 2007,Argentina,Peru,4-0,61,61,0,61,,Left foot,0,1,https://www.messistats.com/en/locationsscored
32,2007-07-12,CPA Copa América 2007,CPA Copa América 2007,Mexico,Argentina,0-3,61,61,0,61,,Left foot,0,1,https://www.messistats.com/en/locationsscored
33,2007-09-19,EUR UEFA Champions League,EUR UEFA Champions League,FC Barcelona,Olympique Lyonnais,3-0,83,83,0,83,,Left foot,0,1,https://www.messistats.com/en/locationsscored
34,2007-09-22,PRM La Liga,PRM La Liga,FC Barcelona,Sevilla,2-1,74,74,0,74,,Left foot,0,1,https://www.messistats.com/en/locationsscored
35,2007-09-22,PRM La Liga,PRM La Liga,FC Barcelona,Sevilla,2-1,80,80,0,80,Penalty,Left foot,1,1,https://www.messistats.com/en/locationsscored
36,2007-09-26,PRM La Liga,PRM La Liga,FC Barcelona,Real Zaragoza,4-1,5,5,0,5,,Left foot,0,1,https://www.messistats.com/en/locationsscored
37,2007-09-26,PRM La Liga,PRM La Liga,FC Barcelona,Real Zaragoza,4-1,11,11,0,11,,Left foot,0,1,https://www.messistats.com/en/locationsscored
38,2007-09-29,PRM La Liga,PRM La Liga,Levante,FC Barcelona,1-4,51,51,0,51,,Left foot,0,1,https://www.messistats.com/en/locationsscored
39,2007-10-02,EUR UEFA Champions League,EUR UEFA Champions League,VfB Stuttgart,FC Barcelona,0-2,67,67,0,67,,Right foot,0,1,https://www.messistats.com/en/locationsscored
40,2007-10-07,PRM La Liga,PRM La Liga,FC Barcelona,Atlético Madrid,3-0,19,19,0,19,,Left foot,0,1,https://www.messistats.com/en/locationsscored
41,2007-10-17,WCQ World Cup 2010 Qualification,WCQ World Cup 2010 Qualification,Venezuela,Argentina,0-2,43,43,0,43,Field goal,Left foot,0,1,https://www.messistats.com/en/locationsscored
42,2007-10-28,PRM La Liga,PRM La Liga,FC Barcelona,UD Almería,2-0,81,81,0,81,Penalty,Left foot,1,1,https://www.messistats.com/en/locationsscored
43,2007-11-07,EUR UEFA Champions League,EUR UEFA Champions League,FC Barcelona,Glasgow Rangers,2-0,43,43,0,43,Rebound,Left foot,0,1,https://www.messistats.com/en/locationsscored
44,2007-11-21,WCQ World Cup 2010 Qualification,WCQ World Cup 2010 Qualification,Colombia,Argentina,2-1,36,36,0,36,Solo run,Left foot,0,1,https://www.messistats.com/en/locationsscored
45,2007-11-24,PRM La Liga,PRM La Liga,FC Barcelona,Recreativo Huelva,3-0,82,82,0,82,Penalty,Left foot,1,1,https://www.messistats.com/en/locationsscored
46,2007-11-27,EUR UEFA Champions League,EUR UEFA Champions League,Olympique Lyonnais,FC Barcelona,2-2,58,58,0,58,Penalty,Left foot,1,1,https://www.messistats.com/en/locationsscored
47,2008-02-20,EUR UEFA Champions League,EUR UEFA Champions League,Celtic,FC Barcelona,2-3,18,18,0,18,,Left foot,0,1,https://www.messistats.com/en/locationsscored
48,2008-02-20,EUR UEFA Champions League,EUR UEFA Champions League,Celtic,FC Barcelona,2-3,79,79,0,79,,Left foot,0,1,https://www.messistats.com/en/locationsscored
